season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,def_2pt_atts,def_2pt_made,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2026,1,ARI,REG,2026_01_ARI_LAC,LAC,27,37,277,1,0,1,0,0,0,283,98,15,9.01286468515324,4.60590309387929,0,13,4,2,0,34,116,1,0,0,7,-0.59585879921744,0,3,1,0,0,27,37,277,1,0,0,283,98,15,10.6089827702396,0,13,4,2,0,0,33,1,19,5,22,1,3,22,5,1,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,111,3,0,0,0,0,0,0,0,3,69,4,5,1,0,49,0.8,0,1,1,2,0,0,0,0,0,0,1,0,27;44;34;49,54,,154,54,0,2,2,0,0,1,0,0,0,0,0,3,0,61,158,1,0,0,2,1,0,0,0,118
2026,1,ATL,REG,2026_01_ATL_PIT,PIT,12,22,143,1,2,4,-25,0,0,77,118,4,-15.7645474334581,-10.4180133656452,0,5,4,3,0,31,120,0,1,0,9,-2.53277851066304,0,3,3,1,0,12,19,143,1,1,0,77,118,4,-7.013960702448,0,5,4,3,0,0,33,2,28,4,20,1,2,15,6,0,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,9,96,5,2,0,0,2,0,3,33,4,123,2,4,2,0,51,0.5,0,0,0,1,1,0,0,0,0,1,1,0,51;43,54;45,,94,99,0,1,1,0,0,1,0,0,0,0,0,6,0,60,289,3,0,0,2,2,2,13,0,236
2026,1,BAL,REG,2026_01_BAL_IND,IND,17,25,324,1,0,2,-20,1,1,269,169,11,10.3436732474516,4.80174024899801,0,13,7,3,3,37,202,4,0,0,12,6.6589317773524,0,6,5,2,0,17,24,324,1,0,0,269,169,11,17.2149235176039,0,13,7,3,3,0,32,1,25,6,24,1,2,17,9,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,86,4,1,0,0,1,1,3,30,5,151,2,2,0,0,57,1,0,0,0,1,1,0,0,0,0,0,0,0,57;45,,,102,0,0,5,5,0,0,1,0,0,0,0,0,3,0,53,140,3,1,0,0,2,0,0,0,140
2026,1,BUF,REG,2026_01_BUF_HOU,HOU,20,29,334,2,0,2,-11,0,0,383,109,13,14.5350239260416,8.14148528235299,0,12,9,5,2,21,86,2,2,0,5,-2.61359507121961,0,3,2,1,0,20,28,334,2,0,0,383,109,13,18.6426092158482,0,12,9,5,2,0,38,2,52,8,27,2,3,17,9,0,0,2,0,0,0,0,0,0,0,0,0,2,-2,2,0,0,10,85,1,1,1,0,2,0,2,10,5,133,3,3,0,0,46,1,0,0,2,1,0,0,0,0,0,0,0,0,46;34;33,,,113,0,0,3,3,0,0,1,0,0,0,0,0,2,0,63,109,1,0,1,0,1,0,0,0,109
2026,1,CAR,REG,2026_01_CHI_CAR,CHI,23,38,361,3,1,2,-8,0,0,366,156,17,15.1386283544877,4.17012090192122,0,15,8,5,2,22,125,2,0,0,5,1.21287969045807,0,3,1,1,0,23,34,361,3,1,1,366,156,17,16.2015089767519,0,15,8,5,2,0,45,1,27,4,11,1,2,8,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11,84,5,1,1,0,2,2,2,17,7,153,1,1,0,0,44,1,0,0,0,1,0,0,0,0,0,0,0,0,44,,,44,0,0,4,5,0,1,0.8,0,0,0,0,0,3,0,61,147,0,1,0,1,0,1,23,0,104
2026,1,CHI,REG,2026_01_CHI_CAR,CAR,21,29,269,2,0,2,-8,0,0,319,80,13,18.5652871718667,16.5803378591171,0,11,5,4,1,39,291,6,0,0,11,14.7314540321822,0,5,5,4,1,21,26,269,2,1,1,319,80,13,18.1772621098827,0,11,5,4,1,0,31,0,34,2,8,1,2,8,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,12,57,2,1,0,0,1,1,1,23,4,85,1,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,40,,,40,0,0,8,8,0,0,1,0,0,0,0,0,2,0,54,102,0,0,0,0,0,2,17,0,85
2026,1,CIN,REG,2026_01_TB_CIN,TB,25,35,254,1,1,1,-9,0,0,226,144,14,-2.62695306242177,6.35173276943319,0,12,7,3,0,27,106,1,0,0,10,-0.656180913822027,0,4,2,0,0,25,34,254,1,0,0,226,144,14,2.12861286611291,0,12,7,3,0,0,41,0,22,5,24,4,4,23,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,27,1,7,47,5,0,0,0,0,0,0,0,6,142,4,4,0,0,58,1,0,1,1,0,2,0,0,0,0,0,0,0,20;55;58;32,,,165,0,0,3,3,0,0,1,0,0,0,0,0,1,0,51,51,0,0,0,0,0,1,13,0,38
2026,1,CLE,REG,2026_01_CLE_JAX,JAX,16,22,205,1,1,5,-20,1,0,228,95,9,-5.56012219451874,10.3209957480431,0,8,4,3,1,22,87,0,0,0,5,0.805777254805435,0,1,0,0,0,16,22,205,1,1,1,228,95,9,-1.21505150576628,0,8,4,3,1,0,24,2,42,4,17,1,1,11,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,75,3,2,0,0,2,1,1,10,6,228,1,1,0,0,26,1,0,1,0,0,0,0,0,0,0,0,0,0,26,,,26,0,0,1,1,0,0,1,0,0,0,0,0,3,0,48,130,1,0,0,0,2,1,-5,0,135
2026,1,DAL,REG,2026_01_DAL_NYG,NYG,22,34,175,2,1,0,0,0,0,309,91,12,10.3809027645621,7.72986660401026,0,8,2,0,0,18,69,1,0,0,4,1.09393993107369,0,1,0,0,0,22,30,175,2,0,0,309,91,12,13.5082919155248,0,8,2,0,0,0,36,0,44,3,9,4,2,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,9,90,5,0,0,0,0,0,0,0,5,122,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,3,1,0,0.666666666666667,0,0,0,0,0,2,0,50,96,2,0,0,0,2,0,0,0,96
2026,1,DET,REG,2026_01_NO_DET,NO,26,39,206,2,0,1,-2,0,0,207,97,10,5.85451096913376,-2.90968670294835,0,6,3,1,0,33,165,2,1,0,14,-0.707207207975444,0,7,3,1,0,26,39,206,2,1,1,207,97,10,1.27058234496572,0,6,3,1,0,0,54,0,28,7,35,1,5,32,9,2,4,8,0,0,0,0,0,0,0,0,0,1,-6,1,0,0,8,61,3,1,1,0,2,1,3,35,4,84,1,1,0,0,23,1,0,1,0,0,0,0,0,0,0,0,0,0,23,,,23,0,0,4,4,0,0,1,0,0,0,0,0,7,0,56,336,3,0,1,1,1,4,21,0,295
